Name,Role,Team
MS Dhoni,WK Keeper - Batter,CSK
Devon Conway,Batter,CSK
Ruturaj Gaikwad,Batter,CSK
Subhranshu Senapati,Batter,CSK
Ambati Rayudu,Batter,CSK
Ajinkya Rahane,Batter,CSK
Shaik Rasheed,Batter,CSK
Rajvardhan Hangargekar,Bowler,CSK
Deepak Chahar,Bowler,CSK
Maheesh Theekshana,Bowler,CSK
Mukesh Choudhary,Bowler,CSK
Prashant Solanki,Bowler,CSK
Simarjeet Singh,Bowler,CSK
Tushar Deshpande,Bowler,CSK
Matheesha Pathirana,Bowler,CSK
Kyle Jamieson,Bowler,CSK
Ravindra Jadeja,All-Rounder,CSK
Dwaine Pretorius,All-Rounder,CSK
Mitchell Santner,All-Rounder,CSK
K Bhagath Varma,All-Rounder,CSK
Moeen Ali,All-Rounder,CSK
Shivam Dube,All-Rounder,CSK
Ben Stokes,All-Rounder,CSK
Nishant Sindhu,All-Rounder,CSK
Ajay Mandal,All-Rounder,CSK
Rishabh Pant,WK Keeper - Batter,DC
David Warner,Batter,DC
Prithvi Shaw,Batter,DC
Rovman Powell,Batter,DC
Ripal Patel,Batter,DC
Sarfaraz Khan,Batter,DC
Yash Dhull,Batter,DC
Aman Khan,Batter,DC
Phil Salt,Batter,DC
Manish Pandey,Batter,DC
Rilee Rossouw,Batter,DC
Kamlesh Nagarkoti,Bowler,DC
Pravin Dubey,Bowler,DC
Vicky Ostwal,Bowler,DC
Anrich Nortje,Bowler,DC
Chetan Sakariya,Bowler,DC
Kuldeep Yadav,Bowler,DC
Lungi Ngidi,Bowler,DC
Mustafizur Rahman,Bowler,DC
Khaleel Ahmed,Bowler,DC
Ishant Sharma,Bowler,DC
Mukesh Kumar,Bowler,DC
Axar Patel,All-Rounder,DC
Lalit Yadav,All-Rounder,DC
Mitchell Marsh,All-Rounder,DC
David Miller,Batter,GT
Shubman Gill,Batter,GT
Matthew Wade,Batter,GT
Wriddhiman Saha,WK Keeper - Batter,GT
Kane Williamson,Batter,GT
Urvil Patel,Batter,GT
K.S Bharat,Batter,GT
Jayant Yadav,Bowler,GT
Pradeep Sangwan,Bowler,GT
Rahul Tewatia,Bowler,GT
Shivam Mavi,Bowler,GT
Alzarri Joseph,Bowler,GT
Mohammad Shami,Bowler,GT
Sai Kishore,Bowler,GT
Rashid Khan,Bowler,GT
Joshua Little,Bowler,GT
